#options: 640x480 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1840 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:117 out:118 type:b dur:4 cpbdur:4 q:0.00 aq:1.18 tex:3009 mv:53 misc:402 imb:0 pmb:48 smb:1152 d:- ref:0 ;
in:122 out:119 type:P dur:4 cpbdur:4 q:0.00 aq:0.03 tex:6917 mv:167 misc:588 imb:5 pmb:102 smb:1093 d:- ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:0.00 aq:0.15 tex:5235 mv:70 misc:543 imb:0 pmb:94 smb:1106 d:- ref:0 ;
in:119 out:121 type:b dur:4 cpbdur:4 q:0.00 aq:1.20 tex:3642 mv:59 misc:403 imb:0 pmb:47 smb:1153 d:- ref:0 ;
in:121 out:122 type:b dur:4 cpbdur:4 q:0.00 aq:1.17 tex:3931 mv:70 misc:407 imb:0 pmb:49 smb:1151 d:- ref:0 ;
in:126 out:123 type:P dur:4 cpbdur:4 q:0.00 aq:0.00 tex:5068 mv:140 misc:592 imb:3 pmb:91 smb:1106 d:- ref:0 ;
in:124 out:124 type:B dur:4 cpbdur:4 q:0.00 aq:0.33 tex:2785 mv:48 misc:511 imb:0 pmb:70 smb:1130 d:- ref:0 ;
in:123 out:125 type:b dur:2 cpbdur:2 q:0.00 aq:1.18 tex:2166 mv:74 misc:400 imb:0 pmb:49 smb:1151 d:- ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:0.00 aq:1.18 tex:2073 mv:65 misc:398 imb:0 pmb:47 smb:1153 d:- ref:0 ;
in:130 out:127 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:50644 mv:2713 misc:635 imb:618 pmb:249 smb:333 d:- ref:0 ;
